Source	Target
348	2029
348	8550
348	11859
348	20842
348	22388
581	6579
581	8192
581	19487
581	28729
581	40595
581	86614
581	107405
581	145665
581	178007
581	1138621
881	29448
881	46371
881	48489
881	53007
881	67945
881	74423
881	92107
881	100566
881	154001
883	46371
883	92107
883	712098
956	192371
956	1370892
1067	2006
1067	11859
1067	15782
1067	66946
1323	11859
1424	50244
1424	124481
1743	6629
1904	6629
1904	10279
2006	6579
2006	7970
2006	39059
2006	46316
2006	57693
2006	74423
2006	100566
2006	103471
2006	106087
2006	110346
2006	111494
2006	118857
2006	685911
2006	788585
2029	39059
2029	46438
2029	138697
2029	288859
2029	298783
2029	432334
2029	444201
2087	3857
2087	17802
2087	20842
2087	22388
2087	28729
2087	46114
2087	127088
2087	138697
2087	171717
2087	286614
2087	483490
2087	971564
2100	13367
2100	49729
2100	213906
2998	71186
2998	159174
2998	298783
3077	46316
3275	147446
3592	6579
3592	8550
3857	4957
3857	6098
3857	17802
3857	20842
3857	22388
3857	74151
3857	84639
3857	113895
3857	971564
3857	994815
4562	22388
4562	50244
4595	7970
4711	4731
4711	53276
4711	61116
4711	101401
4957	292716
4957	734458
5615	71497
5615	163314
6579	86614
6579	260306
6629	154001
7081	110817
7555	7565
7555	761346
7970	8169
7970	10028
7970	16285
7970	22993
7970	28729
7970	39059
7970	40595
7970	46114
7970	67602
7970	74423
7970	78911
7970	88441
7970	95200
7970	100566
7970	103471
7970	107405
7970	108579
7970	110346
7970	113040
7970	143492
7970	145665
7970	154001
7970	154867
7970	181775
7970	221934
7970	228286
7970	238657
7970	272736
7970	308897
7970	311830
7970	487840
7970	693078
7970	695644
8169	22388
8169	40025
8169	44061
8169	48917
8169	53007
8169	111494
8169	147998
8169	211121
8192	16849
8192	518417
8192	523581
8550	22388
8550	143492
8550	154001
8550	171717
8550	178434
8550	285020
8550	338725
8550	478840
8684	13367
8684	22388
8684	74423
8684	159341
8975	17802
8975	119853
8975	133401
8975	171396
8992	50244
10028	144920
10716	20842
10716	38691
10716	110346
10716	206857
10716	432334
11472	100309
11472	108566
11472	110817
11472	147446
11859	22388
11859	39059
11859	46114
11859	50244
11859	66946
11859	129636
11859	292262
11859	815756
11859	1113692
12888	44360
12888	478840
12968	160104
12968	187543
12968	2101670
13367	22388
13367	50244
13367	55212
13367	57693
13367	96865
13367	110891
13624	298783
14402	22388
14402	39059
15782	22388
15782	46316
15782	122246
16285	17040
16285	21898
16285	39708
16285	44360
16285	46114
16285	50244
16285	95200
16285	110346
16285	122242
16285	145665
16285	154867
16285	167632
16285	181775
16285	311830
16285	391289
16285	1621856
16285	1882654
16849	44360
16849	63227
16849	102668
17040	110346
17239	123257
17239	167632
17317	20640
17317	345671
17317	708517
17802	22388
17802	28729
17802	111494
17802	119853
17802	126534
17802	133401
17802	971564
17973	88562
17973	108566
17973	949038
18802	138697
18802	150480
18802	339790
18802	393668
19301	308897
19487	91268
19487	107405
19487	432334
19487	1123532
19487	1138621
19642	90456
20605	155959
20640	100566
20640	102195
20640	143492
20640	163878
20842	22875
20842	22993
20842	28729
20842	29448
20842	31554
20842	39059
20842	40595
20842	44360
20842	46114
20842	46438
20842	88562
20842	108579
20842	110346
20842	145665
20842	147446
20842	155959
20842	171717
20842	240707
20842	291081
20842	391289
20842	515502
20842	693078
20842	782925
21875	57693
21875	161301
21875	1254637
21898	83297
21898	172349
22388	39059
22388	40595
22388	46438
22388	47116
22388	88562
22388	110346
22388	111494
22388	118857
22388	121678
22388	138697
22388	145665
22388	155766
22388	161316
