uid	lat	lng	datetime	month	year
1190964	51.436028	-0.055532000000000005	2012-04-10 00:35:18	4	2012
857331	51.487032	-0.090054	2012-04-10 01:25:15	4	2012
185782	51.517836	-0.081861	2012-04-10 05:18:32	4	2012
767005	51.439063	0.013031	2012-04-10 05:45:25	4	2012
107405	51.472576	-0.45104	2012-04-10 06:04:46	4	2012
172264	51.54811	-0.181403	2012-04-10 06:33:29	4	2012
207713	51.433544	-0.352695	2012-04-10 06:34:53	4	2012
58226	51.505965	0.047979	2012-04-10 06:39:08	4	2012
349426	51.376452	-0.095281	2012-04-10 06:42:03	4	2012
1069064	51.51472800000001	-0.138791	2012-04-10 06:49:09	4	2012
1100738	51.450695	-0.343412	2012-04-10 06:54:09	4	2012
187543	51.378516	-0.102342	2012-04-10 06:57:25	4	2012
513331	51.530779	0.005869	2012-04-10 07:01:34	4	2012
2006	51.52558	-0.109799	2012-04-10 07:18:31	4	2012
513331	51.536293	-0.02526	2012-04-10 07:21:55	4	2012
2006	51.524045	-0.109536	2012-04-10 07:28:04	4	2012
513331	51.52773	0.004764	2012-04-10 07:31:58	4	2012
161174	51.530773	-0.123382	2012-04-10 07:34:11	4	2012
7565	51.479058	-0.409412	2012-04-10 07:39:17	4	2012
7565	51.48048	-0.4141220000000001	2012-04-10 07:42:17	4	2012
146609	51.471906	-0.410214	2012-04-10 07:46:12	4	2012
740594	51.521474	-0.108883	2012-04-10 07:48:43	4	2012
7565	51.48117	-0.428341	2012-04-10 07:51:46	4	2012
7565	51.504883	-0.419369	2012-04-10 07:54:27	4	2012
7565	51.50491	-0.419451	2012-04-10 07:54:48	4	2012
110891	51.405929	-0.045351	2012-04-10 07:55:57	4	2012
110891	51.408549	-0.040684	2012-04-10 07:56:17	4	2012
7565	51.507211	-0.4180430000000001	2012-04-10 07:56:21	4	2012
192371	51.440824	-0.368252	2012-04-10 07:56:40	4	2012
1306641	51.521474	-0.108883	2012-04-10 07:59:17	4	2012
7565	51.505989	-0.419098	2012-04-10 07:59:33	4	2012
192371	51.444302	-0.341832	2012-04-10 07:59:40	4	2012
112320	51.38512	-0.212345	2012-04-10 08:02:11	4	2012
192371	51.445976	-0.339047	2012-04-10 08:09:58	4	2012
112320	51.402271	-0.194739	2012-04-10 08:13:03	4	2012
193155	51.444245	-0.026565	2012-04-10 08:18:56	4	2012
187543	51.521386	-0.092034	2012-04-10 08:22:28	4	2012
311830	51.55499	-0.151142	2012-04-10 08:28:27	4	2012
668453	51.490151	-0.096941	2012-04-10 08:31:15	4	2012
97336	51.486348	-0.22480300000000006	2012-04-10 08:31:17	4	2012
177982	51.424541	-0.358156	2012-04-10 08:34:14	4	2012
144920	51.522249	-0.135665	2012-04-10 08:35:50	4	2012
192371	51.445701	-0.337285	2012-04-10 08:41:03	4	2012
1140592	51.517836	-0.081861	2012-04-10 08:45:49	4	2012
112320	51.511588	-0.128449	2012-04-10 08:51:10	4	2012
112320	51.511605	-0.127868	2012-04-10 08:51:30	4	2012
155766	51.506385	-0.131232	2012-04-10 08:52:11	4	2012
107886	51.517836	-0.081861	2012-04-10 08:54:31	4	2012
311830	51.55376	-0.14411	2012-04-10 08:56:03	4	2012
12888	51.513472	-0.130582	2012-04-10 08:56:10	4	2012
7565	51.505671	-0.419283	2012-04-10 08:56:11	4	2012
112320	51.511127	-0.129261	2012-04-10 08:56:54	4	2012
